name,handedness,height,weight,avg,HR,id
Vida Blue,B,72,189,0.104,4,1
Joaquin Andujar,B,72,170,0.127,5,2
Fritz Peterson,B,72,185,0.159,2,3
Buddy Biancalana,B,71,160,0.205,6,4
Steve Huntz,B,73,204,0.206,16,5
Steve Jeltz,B,71,180,0.21,5,6
Rusty Torres,B,70,175,0.212,35,7
Joe Lovitto,B,72,185,0.216,4,8
Vic Harris,B,71,165,0.217,13,9
Darrel Chaney,B,74,188,0.217,14,10
Al Weis,B,72,160,0.219,7,11
Chris Bando,B,72,195,0.227,27,12
Tim Blackwell,B,71,170,0.228,6,13
Gene Michael,B,74,183,0.229,15,14
Dave McKay,B,73,195,0.229,21,15
Billy Smith,B,74,185,0.23,17,16
Roger Metzger,B,72,165,0.231,5,17
Ted Kubiak,B,72,175,0.231,13,18
Buck Rodgers,B,74,190,0.232,31,19
Paul Popovich,B,72,175,0.233,14,20
Bill Sudakis,B,73,190,0.234,59,21
Rick Sweet,B,73,200,0.234,6,22
Rodney Scott,B,72,160,0.236,3,23
Bud Harrelson,B,71,160,0.236,7,24
Bob Meacham,B,73,175,0.236,8,25
Paul Householder,B,72,180,0.236,29,26
Rafael Landestoy,B,70,165,0.237,4,27
Jimmy Stewart,B,72,165,0.237,8,28
Julio Cruz,B,69,165,0.237,23,29
Ron Roenicke,B,72,180,0.238,17,30
Chico Ruiz,B,72,169,0.24,2,31
Mike Ramsey,B,73,170,0.24,2,32
Wayne Tolleson,B,69,160,0.241,9,33
Manny Castillo,B,69,160,0.242,3,34
Joe Wallis,B,71,180,0.244,16,35
Sandy Alomar,B,69,140,0.245,13,36
Bryan Little,B,70,160,0.245,3,37
George Wright,B,71,180,0.245,42,38
Tom Tresh,B,73,180,0.245,153,39
Alan Ashby,B,74,185,0.245,90,40
Bobby Brown,B,74,190,0.245,26,41
Mike Young,B,74,195,0.247,72,42
Derrel Thomas,B,72,160,0.249,43,43
Tony Scott,B,72,164,0.249,17,44
Wilbur Howard,B,74,170,0.25,6,45
Bob Stinson,B,71,180,0.25,33,46
Albert Hall,B,71,155,0.251,5,47
U L Washington,B,71,175,0.251,27,48
Jim Lefebvre,B,72,180,0.251,74,49
Don Kessinger,B,73,170,0.252,14,50
Jerry White,B,70,164,0.253,21,51
Larry Milbourne,B,72,161,0.254,11,52
Wallace Johnson,B,72,173,0.255,5,53
Butch Wynegar,B,73,190,0.255,65,54
Horace Clarke,B,69,170,0.256,27,55
Len Randle,B,70,169,0.257,27,56
Biff Pocoroba,B,70,175,0.257,21,57
Ken Henderson,B,74,180,0.257,122,58
Roy Smalley,B,73,185,0.257,163,59
Jerry Hairston,B,70,170,0.258,30,60
Alan Wiggins,B,74,160,0.259,5,61
Lee Mazzilli,B,73,180,0.259,93,62
Larry Bowa,B,70,155,0.26,15,63
Billy North,B,71,185,0.261,20,64
Richie Scheinblum,B,73,180,0.263,13,65
Don Buford,B,67,160,0.264,93,66
Miguel Dilone,B,72,160,0.265,6,67
Ron Oester,B,74,185,0.265,42,68
Bump Wills,B,69,172,0.266,36,69
Wes Parker,B,73,180,0.267,64,70
R.J. Reynolds,B,72,190,0.267,35,71
Tito Fuentes,B,71,175,0.268,45,72
Roy White,B,70,160,0.271,160,73
Dave Collins,B,71,175,0.272,32,74
Darrell Brown,B,72,184,0.274,1,75
Steve Ontiveros,B,72,185,0.274,24,76
Rick Peters,B,69,170,0.277,2,77
Ken Singleton,B,76,210,0.282,246,78
Ted Simmons,B,71,193,0.285,248,79
Reggie Smith,B,72,180,0.287,314,80
Jerry Mumphrey,B,74,185,0.289,70,81
Johnny Ray,B,71,170,0.29,53,82
Pete Rose,B,71,192,0.303,160,83
Steve Barber,L,72,195,0.115,5,84
Bob Knepper,L,75,195,0.137,6,85
Sam McDowell,L,77,190,0.154,2,86
Jerry Reuss,L,77,200,0.167,1,87
Ray Sadecki,L,71,180,0.191,5,88
Dave Roberts,L,75,195,0.194,7,89
Dan Briggs,L,72,180,0.195,12,90
Jim French,L,68,180,0.196,5,91
Jim Maloney,L,74,190,0.201,7,92
John Hale,L,74,195,0.201,14,93
Doug Frobel,L,76,196,0.201,20,94
Steve Carlton,L,76,210,0.201,13,95
Jim Mason,L,74,185,0.203,12,96
Don Mason,L,71,160,0.205,3,97
Jerry Narron,L,75,205,0.211,21,98
Rudy Meoli,L,69,165,0.212,2,99
Hal King,L,73,200,0.214,24,100
Tom Matchick,L,73,173,0.215,4,101
John Stephenson,L,71,180,0.216,12,102
Billy Bryan,L,76,200,0.216,41,103
Ellie Hendricks,L,73,175,0.22,62,104
Jim Nettles,L,72,186,0.22,16,105
Bob Jones,L,74,195,0.221,20,106
Joe Lahoud,L,73,198,0.223,65,107
Bob Burda,L,71,174,0.224,13,108
Roger Repoz,L,75,190,0.224,82,109
Dick Nen,L,74,200,0.224,21,110
Tom Satriano,L,73,185,0.225,21,111
Jim Gosger,L,71,185,0.226,30,112
Bill Voss,L,74,160,0.227,19,113
Mike Fiore,L,72,175,0.227,13,114
Johnny Lewis,L,73,189,0.227,22,115
Jim Traber,L,72,194,0.227,27,116
Dick Phillips,L,72,180,0.229,12,117
Doug Clemens,L,72,180,0.229,12,118
Duane Walker,L,72,185,0.229,24,119
Mike Brumley,L,70,195,0.229,5,120
Sandy Valdespino,L,68,170,0.23,7,121
Steve Whitaker,L,72,180,0.23,24,122
Larry Stahl,L,72,175,0.232,36,123
Jake Gibbs,L,72,180,0.233,25,124
Clay Dalrymple,L,72,190,0.233,55,125
Wayne Gross,L,74,210,0.233,121,126
Len Matuszek,L,74,190,0.234,30,127
Al Luplow,L,70,175,0.235,33,128
Dalton Jones,L,73,180,0.235,41,129
Tim Harkness,L,74,182,0.235,14,130
Jim Fairey,L,70,190,0.235,7,131
Danny Goodwin,L,73,195,0.236,13,132
Jerry Kenney,L,73,170,0.237,7,133
Ed Stroud,L,71,180,0.237,14,134
Harry Spilman,L,73,180,0.237,18,135
Curt Blefary,L,74,195,0.237,112,136
John Donaldson,L,71,160,0.238,4,137
Ty Cline,L,72,170,0.238,6,138
Norm Miller,L,70,185,0.238,24,139
Ed Kirkpatrick,L,71,195,0.238,85,140
Wayne Garrett,L,71,175,0.239,61,141
Bernie Allen,L,72,175,0.239,73,142
Joe Hague,L,72,195,0.239,40,143
Duke Sims,L,74,197,0.239,100,144
Ken Phelps,L,73,209,0.239,123,145
Mike Phillips,L,72,170,0.24,11,146
Ron Hodges,L,73,185,0.24,19,147
Ed Herrmann,L,73,195,0.24,80,148
Ron Stone,L,74,185,0.241,6,149
Frank Tepedino,L,71,185,0.241,6,150
Bill Fahey,L,72,200,0.241,7,151
Joe Simpson,L,75,175,0.242,9,152
Mike Hegan,L,73,188,0.242,53,153
Johnny Edwards,L,76,220,0.242,81,154
Bobby Mitchell,L,70,170,0.243,3,155
Chuck Hiller,L,71,170,0.243,20,156
Rick Sofield,L,73,195,0.243,9,157
Mike Jorgensen,L,72,195,0.243,95,158
Ray Webster,L,72,185,0.244,17,159
Mike Epstein,L,75,230,0.244,130,160
Curt Ford,L,70,150,0.245,7,161
Jack Brohamer,L,70,165,0.245,30,162
Dave Marshall,L,73,182,0.246,16,163
Tommy McCraw,L,72,183,0.246,75,164
Joe Keough,L,72,185,0.246,9,165
Dwayne Murphy,L,73,185,0.246,166,166
Merritt Ranew,L,71,170,0.247,8,167
Garry Hancock,L,72,175,0.247,12,168
Marvell Wynne,L,71,175,0.247,40,169
Dick McAuliffe,L,71,176,0.247,197,170
Mike Lum,L,72,180,0.247,90,171
Darrell Porter,L,72,193,0.247,188,172
Ken Boswell,L,72,170,0.248,31,173
Jim Lyttle,L,72,180,0.248,9,174
Tom Hutton,L,71,180,0.248,22,175
Rob Wilfong,L,73,180,0.248,39,176
Graig Nettles,L,72,180,0.248,390,177
Willie Smith,L,72,182,0.248,46,178
Larry Harlow,L,74,185,0.248,12,179
Darrell Evans,L,74,200,0.248,414,180
Gary Thomasson,L,73,180,0.249,61,181
John Milner,L,72,185,0.249,131,182
Don Mincher,L,75,205,0.249,200,183
Ruppert Jones,L,70,170,0.25,147,184
Denny Doyle,L,69,175,0.25,16,185
Terry Crowley,L,72,180,0.25,42,186
Johnny Oates,L,71,188,0.25,14,187
Jim Spencer,L,74,195,0.25,146,188
Leron Lee,L,72,196,0.25,31,189
Sonny Jackson,L,69,150,0.251,7,190
Jesse Gonder,L,70,180,0.251,26,191
Dave May,L,70,186,0.251,96,192
Omar Moreno,L,74,180,0.252,37,193
Mack Jones,L,73,180,0.252,133,194
Art Shamsky,L,73,168,0.253,68,195
Eddie Milner,L,71,173,0.253,42,196
John Lowenstein,L,72,175,0.253,116,197
Dan Meyer,L,71,180,0.253,86,198
Rich Reese,L,75,185,0.253,52,199
Fred Whitfield,L,73,190,0.253,108,200
Johnny Briggs,L,73,190,0.253,139,201
Len Gabrielson,L,76,210,0.253,37,202
John Mayberry,L,75,215,0.253,255,203
Rich Chiles,L,71,170,0.254,6,204
Brian Asselstine,L,73,175,0.254,12,205
Jimmie Hall,L,72,175,0.254,121,206
Pete Ward,L,73,185,0.254,98,207
Tim Flannery,L,71,175,0.255,9,208
Bill Sharp,L,70,178,0.255,9,209
Lee Thomas,L,74,195,0.255,106,210
Champ Summers,L,74,205,0.255,54,211
Pat Putnam,L,72,205,0.255,63,212
Tony Solaita,L,72,210,0.255,50,213
Boots Day,L,69,160,0.256,8,214
Craig Reynolds,L,73,175,0.256,42,215
Tom O'Malley,L,72,180,0.256,13,216
Walt Bond,L,79,228,0.256,41,217
Dave Rader,L,71,165,0.257,30,218
Jerry Turner,L,69,180,0.257,45,219
Rick Manning,L,73,180,0.257,56,220
Tom Haller,L,76,195,0.257,134,221
Pete LaCock,L,74,200,0.257,27,222
Gates Brown,L,71,220,0.257,84,223
Cesar Geronimo,L,72,165,0.258,51,224
Joe Lefebvre,L,70,170,0.258,31,225
Mike Cubbage,L,72,180,0.258,34,226
Del Unser,L,73,180,0.258,87,227
Joe Pepitone,L,74,185,0.258,219,228
Steve Hovley,L,70,188,0.258,8,229
Rowland Office,L,72,170,0.259,32,230
Hosken Powell,L,73,175,0.259,17,231
Mike Davis,L,74,175,0.259,91,232
Tony Muser,L,74,180,0.259,7,233
Ed Ott,L,70,190,0.259,33,234
Clint Hurdle,L,75,195,0.259,32,235
Brock Davis,L,70,160,0.26,1,236
Jim Dwyer,L,70,165,0.26,77,237
Ed Goodson,L,75,180,0.26,30,238
Mike Squires,L,71,185,0.26,6,239
Greg Walker,L,75,205,0.26,113,240
Jose Tartabull,L,71,165,0.261,2,241
Roy Howell,L,73,190,0.261,80,242
Bob Chance,L,74,196,0.261,24,243
Jason Thompson,L,76,200,0.261,208,244
Ed Kranepool,L,75,205,0.261,118,245
Willie Upshaw,L,72,185,0.262,123,246
Scot Thompson,L,75,195,0.262,5,247
Reggie Jackson,L,72,195,0.262,563,248
Joe Nolan,L,71,175,0.263,27,249
Bruce Boisclair,L,74,185,0.263,10,250
Ted Uhlaender,L,74,190,0.263,36,251
Milt May,L,72,190,0.263,77,252
Bernie Carbo,L,71,173,0.264,96,253
Jim Norris,L,70,175,0.264,7,254
Phil Mankowski,L,72,180,0.264,8,255
Ken Retzer,L,72,185,0.264,14,256
Pat Kelly,L,73,185,0.264,76,257
Bob Molinaro,L,72,190,0.264,14,258
Rick Monday,L,75,193,0.264,241,259
Oscar Gamble,L,71,160,0.265,200,260
Rich Coggins,L,68,170,0.265,12,261
Bobby Tolan,L,71,170,0.265,86,262
Jim Holt,L,72,180,0.265,19,263
Daryl Sconiers,L,74,185,0.265,15,264
Dave Revering,L,76,210,0.265,62,265
Wayne Krenchicki,L,73,180,0.266,15,266
Gail Hopkins,L,70,198,0.266,25,267
Mitchell Page,L,74,205,0.266,72,268
Boog Powell,L,76,230,0.266,339,269
Jay Johnstone,L,73,175,0.267,102,270
Dan Driessen,L,71,187,0.267,153,271
Jim Northrup,L,75,190,0.267,153,272
Ken Landreaux,L,70,165,0.268,91,273
Tom Poquette,L,70,175,0.268,10,274
Rick Leach,L,73,180,0.268,18,275
Willie Crawford,L,73,197,0.268,86,276
George Vukovich,L,72,198,0.268,27,277
Rick Miller,L,72,175,0.269,28,278
Jack Perconte,L,70,160,0.27,2,279
Tim Corcoran,L,71,175,0.27,12,280
Joe Morgan,L,67,160,0.271,268,281
Rudy Law,L,73,165,0.271,18,282
Duane Kuiper,L,72,175,0.271,1,283
Broderick Perkins,L,70,180,0.271,8,284
Steve Braun,L,70,180,0.271,52,285
Al Woods,L,75,190,0.271,35,286
Willie Aikens,L,75,220,0.271,110,287
Thad Bosley,L,75,175,0.272,20,288
Manny Jimenez,L,73,185,0.272,26,289
Ben Oglivie,L,74,160,0.273,235,290
Von Joshua,L,70,170,0.273,30,291
Larry Biittner,L,74,205,0.273,29,292
Gene Locklear,L,70,165,0.274,9,293
Terry Francona,L,73,190,0.274,16,294
Carlos May,L,71,200,0.274,90,295
Jerry Remy,L,69,165,0.275,7,296
Willie Montanez,L,72,170,0.275,139,297
Dane Iorg,L,72,180,0.276,14,298
Richie Hebner,L,73,195,0.276,203,299
Bobby Murcer,L,71,160,0.277,252,300
Jeff Stone,L,72,175,0.277,11,301
Leon Durham,L,73,185,0.277,147,302
Jorge Orta,L,70,170,0.278,130,303
Johnny Grubb,L,75,175,0.278,99,304
Claudell Washington,L,72,190,0.278,164,305
Steve Kemp,L,72,195,0.278,130,306
Vic Davalillo,L,67,150,0.279,36,307
Willie Davis,L,74,180,0.279,182,308
Rusty Staub,L,74,190,0.279,292,309
Chris Chambliss,L,73,195,0.279,185,310
Glenn Adams,L,73,180,0.28,34,311
Al Bumbry,L,68,170,0.281,54,312
Terry Whitfield,L,73,197,0.281,33,313
Willie Stargell,L,74,188,0.282,475,314
Bruce Bochte,L,75,195,0.282,100,315
Floyd Robinson,L,69,175,0.283,67,316
Fred Lynn,L,73,185,0.283,306,317
Jose Cruz,L,72,170,0.284,165,318
Carl Yastrzemski,L,71,175,0.285,452,319
Tony Gonzalez,L,69,170,0.286,103,320
Greg Gross,L,70,160,0.287,7,321
Bill Buckner,L,72,185,0.289,174,322
Gene Richards,L,72,175,0.29,26,323
Mike Hargrove,L,72,195,0.29,80,324
Lou Brock,L,71,170,0.293,149,325
Mike Easler,L,72,190,0.293,118,326
Ron Blomberg,L,73,195,0.293,52,327
Mickey Rivers,L,70,165,0.295,61,328
Keith Hernandez,L,72,180,0.296,162,329
Cecil Cooper,L,74,165,0.298,241,330
Bake McBride,L,74,190,0.299,63,331
Al Oliver,L,72,195,0.303,219,332
Tony Oliva,L,73,175,0.304,220,333
Ralph Garr,L,71,185,0.306,75,334
Matty Alou,L,69,160,0.307,31,335
Lyman Bostock,L,73,180,0.311,23,336
Rod Carew,L,72,170,0.328,92,337
Jerry Koosman,R,74,205,0.119,2,338
Ray Culp,R,72,200,0.123,1,339
Burt Hooton,R,73,210,0.123,4,340
Al Downing,R,71,175,0.127,2,341
Denny Lemaster,R,73,182,0.13,4,342
Gaylord Perry,R,76,205,0.131,6,343
Mario Soto,R,72,174,0.132,1,344
Denny McLain,R,73,185,0.133,1,345
Dave McNally,R,71,185,0.133,9,346
Jim Lonborg,R,77,200,0.136,3,347
Larry Dierker,R,76,215,0.136,4,348
Gary Nolan,R,74,197,0.138,1,349
Woodie Fryman,R,75,197,0.138,2,350
Don Wilson,R,74,195,0.146,1,351
Ray Burris,R,77,200,0.151,1,352
Tom Seaver,R,73,195,0.154,12,353
Joe Niekro,R,73,185,0.156,1,354
Carl Morton,R,72,200,0.156,7,355
Tommy John,R,75,180,0.157,5,356
Mel Stottlemyre,R,73,178,0.16,7,357
John Vukovich,R,73,187,0.161,6,358
Jim Barr,R,75,205,0.162,1,359
Ken Holtzman,R,74,175,0.163,2,360
Luis Tiant,R,72,180,0.164,5,361
Juan Marichal,R,72,185,0.165,4,362
Fergie Jenkins,R,77,205,0.165,13,363
J.R. Richard,R,80,222,0.168,10,364
Phil Niekro,R,73,180,0.169,7,365
Andy Messersmith,R,73,200,0.17,5,366
Steve Blass,R,72,165,0.172,1,367
Sonny Siebert,R,75,190,0.173,12,368
Ray Oyler,R,71,165,0.175,15,369
Tommy Dean,R,72,165,0.18,4,370
Dick Ruthven,R,75,190,0.183,1,371
Bill Plummer,R,73,190,0.188,14,372
Ron Clark,R,70,175,0.189,5,373
Tony Cloninger,R,72,210,0.192,11,374
Luis Pujols,R,74,175,0.193,6,375
Mike Krukow,R,77,205,0.193,5,376
Mike Ryan,R,74,205,0.193,28,377
Rich Morales,R,71,170,0.195,6,378
Rick Wise,R,73,180,0.195,15,379
Bob Davis,R,72,180,0.197,6,380
Orlando Mercado,R,72,180,0.199,7,381
Frank Fernandez,R,72,185,0.199,39,382
Doug Camilli,R,71,195,0.199,18,383
Bob Uecker,R,73,190,0.2,14,384
Tom Egan,R,76,218,0.2,22,385
Jim Rooker,R,72,195,0.201,7,386
Jerry Zimmerman,R,74,185,0.204,3,387
George Smith,R,70,170,0.205,9,388
Tom Nieto,R,73,193,0.205,5,389
Tom Lawless,R,71,170,0.207,2,390
Dick Simpson,R,76,176,0.207,15,391
Jackie Hernandez,R,71,165,0.208,12,392
Bobby Klaus,R,70,170,0.208,6,393
Jack Heidemann,R,72,175,0.211,9,394
Terry Humphrey,R,75,185,0.211,6,395
Angel Salazar,R,72,180,0.212,2,396
Ned Yost,R,73,190,0.212,16,397
Dave Nicholson,R,74,215,0.212,61,398
Dick Tracewski,R,71,160,0.213,8,399
Curt Motton,R,68,164,0.213,25,400
Ken Rudolph,R,73,180,0.213,6,401
Dave Campbell,R,73,180,0.213,20,402
Alan Knicely,R,72,190,0.213,12,403
Dave Hilton,R,71,191,0.213,6,404
Bob Forsch,R,76,200,0.213,12,405
Luis Alvarado,R,69,162,0.214,5,406
Frank Quilici,R,73,170,0.214,5,407
Dave Duncan,R,74,190,0.214,109,408
Jim Price,R,72,192,0.214,18,409
Jeff Torborg,R,72,195,0.214,8,410
Jose Arcia,R,75,170,0.215,1,411
Mario Mendoza,R,71,170,0.215,4,412
Bobby Wine,R,73,187,0.215,30,413
Skip Jutze,R,71,190,0.215,3,414
Phil Roof,R,74,190,0.215,43,415
Larry Haney,R,74,195,0.215,12,416
Steve Renko,R,77,230,0.215,6,417
Fred Stanley,R,70,165,0.216,10,418
Hector Torres,R,72,175,0.216,18,419
Pat Corrales,R,72,180,0.216,4,420
Howie Goss,R,76,204,0.216,11,421
Steve Swisher,R,74,205,0.216,20,422
Dal Maxvill,R,71,157,0.217,6,423
Stan Papi,R,72,170,0.218,7,424
Jim Anderson,R,72,170,0.218,13,425
Tucker Ashford,R,73,195,0.218,6,426
Ted Ford,R,70,180,0.219,17,427
John Boccabella,R,73,195,0.219,26,428
Mike Fischlin,R,73,165,0.22,3,429
Rick Auerbach,R,72,165,0.22,9,430
Danny Ainge,R,76,175,0.22,2,431
Todd Cruz,R,72,175,0.22,34,432
Pedro Garcia,R,70,175,0.22,37,433
Bob Coluccio,R,71,183,0.22,26,434
Tim Cullen,R,73,185,0.22,9,435
Jerry Buchek,R,71,185,0.22,22,436
Larry Cox,R,70,178,0.221,12,437
Gary Allenson,R,71,185,0.221,19,438
